Hora;ENT FLEX D1;SAL FLEX D2;Rechazo Flex %;Rechazo Flex;ENT VIS D5;Sal VIS D6;Rechazo Visual %;Rechazo Visual;total de produccion perdida;total de produccion Empacada;;;;;;;;;
18/8/2021 10:01:04;128752;125467;2,55%;3285;158001;156217;1,13%;1784;3,68%;96,32%;;;;;;;;;
18/8/2021 10:06:04;129240;126024;2,49%;3216;158580;156757;1,15%;1823;3,64%;96,36%;;;;;;;;;
18/8/2021 10:11:04;129716;126558;2,43%;3158;159165;157319;1,16%;1846;3,59%;96,41%;;;;;;;;;
18/8/2021 10:16:04;130210;127086;2,40%;3124;159708;157746;1,23%;1962;3,63%;96,37%;;;;;;;;;
18/8/2021 10:21:04;130742;127653;2,36%;3089;160294;158301;1,24%;1993;3,61%;96,39%;;;;;;;;;
18/8/2021 10:26:04;131237;128115;2,38%;3122;160741;158715;1,26%;2026;3,64%;96,36%;;;;;;;;;
18/8/2021 10:31:04;131859;128776;2,34%;3083;161417;159301;1,31%;2116;3,65%;96,35%;;;;;;;;;
18/8/2021 10:36:04;132379;129316;2,31%;3063;161977;159907;1,28%;2070;3,59%;96,41%;;;;;;;;;
18/8/2021 10:41:04;132898;129866;2,28%;3032;162556;160457;1,29%;2099;3,57%;96,43%;;;;;;;;;
18/8/2021 10:46:04;133419;130416;2,25%;3003;163118;161031;1,28%;2087;3,53%;96,47%;;;;;;;;;
18/8/2021 10:51:04;133973;130990;2,23%;2983;163696;161610;1,27%;2086;3,50%;96,50%;;;;;;;;;
18/8/2021 10:56:04;134514;131555;2,20%;2959;164283;162180;1,28%;2103;3,48%;96,52%;;;;;;;;;
18/8/2021 11:01:04;134989;132054;2,17%;2935;164838;162727;1,28%;2111;3,45%;96,55%;;;;;;;;;
18/8/2021 11:06:04;135485;132574;2,15%;2911;165384;163262;1,28%;2122;3,43%;96,57%;;;;;;;;;
18/8/2021 11:11:04;136056;133114;2,16%;2942;165895;163795;1,27%;2100;3,43%;96,57%;;;;;;;;;
18/8/2021 11:16:04;136562;133670;2,12%;2892;166507;164402;1,26%;2105;3,38%;96,62%;;;;;;;;;
18/8/2021 11:21:04;137051;134115;2,14%;2936;167076;164942;1,28%;2134;3,42%;96,58%;;;;;;;;;
18/8/2021 11:26:04;137562;134666;2,11%;2896;167634;165535;1,25%;2099;3,36%;96,64%;;;;;;;;;
18/8/2021 11:31:04;138066;135199;2,08%;2867;168141;166079;1,23%;2062;3,30%;96,70%;;;;;;;;;
18/8/2021 11:36:04;138600;135747;2,06%;2853;168722;166669;1,22%;2053;3,28%;96,72%;;;;;;;;;
18/8/2021 11:41:04;139094;136313;2,00%;2781;169339;167229;1,25%;2110;3,25%;96,75%;;;;;;;;;
18/8/2021 11:46:04;139604;136881;1,95%;2723;169940;167759;1,28%;2181;3,23%;96,77%;;;;;;;;;
18/8/2021 11:51:04;140121;137431;1,92%;2690;170524;168312;1,30%;2212;3,22%;96,78%;;;;;;;;;
18/8/2021 11:56:04;140651;137988;1,89%;2663;171097;168923;1,27%;2174;3,16%;96,84%;;;;;;;;;
18/8/2021 12:01:04;141169;138508;1,88%;2661;171654;169403;1,31%;2251;3,20%;96,80%;;;;;;;;;
18/8/2021 12:06:04;141641;138991;1,87%;2650;172170;169900;1,32%;2270;3,19%;96,81%;;;;;;;;;
18/8/2021 12:11:04;142234;139529;1,90%;2705;172791;170505;1,32%;2286;3,22%;96,78%;;;;;;;;;
18/8/2021 12:16:04;142695;140074;1,84%;2621;173363;171057;1,33%;2306;3,17%;96,83%;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
